engine_id,category,Days_Since_Maintenance,Last_Hours,Current_Hours,Hours_Used,Maintenance_Type,Status
ENG001,Groupe Demarrage,127,1926,1990,64,6M,Maintenance Due
ENG002,Groupe Demarrage,114,2259,2498,239,6M,Soon
ENG003,Groupe Clim,118,1660,1899,239,6M,Soon
ENG004,Groupe Clim,65,2094,2318,224,3M,OK
ENG005,Groupe Demarrage,66,1930,2169,239,3M,OK
ENG006,Groupe Demarrage,69,1895,1995,100,3M,OK
ENG007,Groupe Demarrage,92,1844,2001,157,3M,Soon
ENG008,Groupe Demarrage,99,2438,2542,104,6M,Soon
ENG009,Groupe Demarrage,123,921,1214,293,6M,Maintenance Due
ENG010,Water & Lavatory,59,1266,1379,113,3M,OK
ENG011,Water & Lavatory,58,2038,2336,298,3M,OK
ENG012,Water & Lavatory,61,1130,1310,180,3M,OK
ENG013,Water & Lavatory,61,2282,2560,278,3M,OK
ENG014,Tracteur,75,887,987,100,3M,Soon
ENG015,Tracteur,62,2196,2380,184,3M,OK
ENG016,Tracteur,67,1923,1993,70,3M,OK
ENG017,Tracteur,68,1671,1793,122,3M,OK
ENG018,Tracteur,65,2487,2703,216,3M,OK
ENG019,Tracteur,78,930,997,67,3M,Soon
ENG020,Tracteur,78,2485,2666,181,3M,Soon
ENG021,Tracteur,62,2132,2270,138,3M,OK
ENG022,Tracteur,61,1569,1678,109,3M,OK
ENG023,Porte Tapis,66,1143,1206,63,3M,OK
ENG024,Porte Tapis,66,2315,2606,291,3M,OK
ENG025,Tracteur,42,2237,2536,299,3M,OK
ENG026,Tracteur,61,1605,1663,58,3M,OK
ENG027,Elevateur,60,1185,1324,139,3M,OK
ENG028,Elevateur,67,2015,2117,102,3M,OK
ENG029,Camion,66,1755,1934,179,3M,OK
ENG030,Camion,65,1076,1209,133,3M,OK
ENG031,Floodlight,70,1984,2125,141,3M,OK
ENG032,Floodlight,95,1259,1419,160,3M,Maintenance Due
ENG033,Floodlight,69,2137,2374,237,3M,OK
ENG034,Floodlight,67,821,1069,248,3M,OK
ENG035,Loader,61,1052,1273,221,3M,OK
ENG036,Loader,65,1547,1604,57,3M,OK
ENG037,Nacelle,68,1656,1880,224,3M,OK
ENG038,Nacelle,68,2384,2468,84,3M,OK
ENG039,Nacelle,59,1274,1529,255,3M,OK
ENG040,Porte Escalier,64,1882,2012,130,3M,OK
ENG041,Porte Escalier,59,1310,1523,213,3M,OK
ENG042,Porte Escalier,64,2299,2398,99,3M,OK
ENG043,Porte Escalier,126,1499,1652,153,6M,Maintenance Due
ENG044,Porte Escalier,135,1775,1956,181,6M,Maintenance Due
