engine_id,maintenance_date,maintenance_type,operation,technician,status,notes
ENG001,2024-11-12,3M,Oil Drain,Ahmed K.,Completed,Oil Drain completed successfully
ENG001,2024-11-12,3M,Oil Filter Replacement,Rachid B.,Completed,Oil Filter Replacement completed successfully
ENG001,2024-11-12,3M,Air Filter Check,Youssef M.,Completed,Air Filter Check completed successfully
ENG001,2024-11-12,3M,General Inspection,Youssef M.,Completed,General Inspection completed successfully
ENG001,2024-12-20,3M,Oil Drain,Omar L.,Completed,Oil Drain completed successfully
ENG001,2024-12-20,3M,Oil Filter Replacement,Ahmed K.,Completed,Oil Filter Replacement completed successfully
ENG001,2024-12-20,3M,Air Filter Check,Omar L.,Completed,Air Filter Check completed successfully
ENG001,2024-12-20,3M,General Inspection,Hassan T.,Completed,General Inspection completed successfully
ENG001,2025-01-21,3M,Oil Drain,Ahmed K.,Completed,Oil Drain completed successfully
ENG001,2025-01-21,3M,Oil Filter Replacement,Youssef M.,Completed,Oil Filter Replacement completed successfully
ENG001,2025-01-21,3M,Air Filter Check,Youssef M.,Completed,Air Filter Check completed successfully
ENG001,2025-01-21,3M,General Inspection,Omar L.,Completed,General Inspection completed successfully
ENG001,2025-02-11,6M,Oil Drain,Ahmed K.,Completed,Oil Drain completed successfully
ENG001,2025-02-11,6M,Oil Filter Replacement,Omar L.,Completed,Oil Filter Replacement completed successfully
ENG001,2025-02-11,6M,Air Filter Replacement,Youssef M.,Completed,Air Filter Replacement completed successfully
ENG001,2025-02-11,6M,Fuel Filter Check,Omar L.,Completed,Fuel Filter Check completed successfully
ENG001,2025-02-11,6M,Belt Inspection,Hassan T.,Completed,Belt Inspection completed successfully
ENG001,2025-03-19,6M,Oil Drain,Hassan T.,Completed,Oil Drain completed successfully
ENG001,2025-03-19,6M,Oil Filter Replacement,Omar L.,Completed,Oil Filter Replacement completed successfully
ENG001,2025-03-19,6M,Air Filter Replacement,Rachid B.,Completed,Air Filter Replacement completed successfully
ENG001,2025-03-19,6M,Fuel Filter Check,Ahmed K.,Completed,Fuel Filter Check completed successfully
ENG001,2025-03-19,6M,Belt Inspection,Youssef M.,Completed,Belt Inspection completed successfully
ENG001,2025-04-15,6M,Oil Drain,Rachid B.,Completed,Oil Drain completed successfully
ENG001,2025-04-15,6M,Oil Filter Replacement,Rachid B.,Completed,Oil Filter Replacement completed successfully
ENG001,2025-04-15,6M,Air Filter Replacement,Youssef M.,Completed,Air Filter Replacement completed successfully
ENG001,2025-04-15,6M,Fuel Filter Check,Youssef M.,Completed,Fuel Filter Check completed successfully
ENG001,2025-04-15,6M,Belt Inspection,Rachid B.,Completed,Belt Inspection completed successfully
ENG002,2024-11-21,3M,Oil Drain,Hassan T.,Completed,Oil Drain completed successfully
ENG002,2024-11-21,3M,Oil Filter Replacement,Ahmed K.,Completed,Oil Filter Replacement completed successfully
ENG002,2024-11-21,3M,Air Filter Check,Rachid B.,Completed,Air Filter Check completed successfully
ENG002,2024-11-21,3M,General Inspection,Rachid B.,Completed,General Inspection completed successfully
ENG002,2024-12-13,6M,Oil Drain,Ahmed K.,Completed,Oil Drain completed successfully
ENG002,2024-12-13,6M,Oil Filter Replacement,Hassan T.,Completed,Oil Filter Replacement completed successfully
ENG002,2024-12-13,6M,Air Filter Replacement,Omar L.,Completed,Air Filter Replacement completed successfully
ENG002,2024-12-13,6M,Fuel Filter Check,Ahmed K.,Completed,Fuel Filter Check completed successfully
ENG002,2024-12-13,6M,Belt Inspection,Hassan T.,Completed,Belt Inspection completed successfully
ENG002,2025-01-20,6M,Oil Drain,Omar L.,Completed,Oil Drain completed successfully
ENG002,2025-01-20,6M,Oil Filter Replacement,Rachid B.,Completed,Oil Filter Replacement completed successfully
ENG002,2025-01-20,6M,Air Filter Replacement,Omar L.,Completed,Air Filter Replacement completed successfully
ENG002,2025-01-20,6M,Fuel Filter Check,Youssef M.,Completed,Fuel Filter Check completed successfully
